"DTQ070U.Code.or.Value","DTQ070U.Value.Description","DTQ070U.Count","DTQ070U.Cumulative","DTQ070U.Skip.to.Item"
"1","Day",1082,1082,NA
"2","Week",1492,2574,NA
"3","Month",2228,4802,NA
"7","Refused",3,4805,NA
"9","Don't know",8,4813,NA
".","Missing",3728,8541,NA
