"DR1_330.Code.or.Value","DR1_330.Value.Description","DR1_330.Count","DR1_330.Cumulative","DR1_330.Skip.to.Item"
"0 to 11159.2","Range of Values",9151,9151,NA
".","Missing",492,9643,NA
