"DRD040Z.Code.or.Value","DRD040Z.Value.Description","DRD040Z.Count","DRD040Z.Cumulative","DRD040Z.Skip.to.Item"
"1","Yes",95394,95394,NA
"2","No",45684,141078,NA
".","Missing",1926,143004,NA
