"DRQSDIET.Code.or.Value","DRQSDIET.Value.Description","DRQSDIET.Count","DRQSDIET.Cumulative","DRQSDIET.Skip.to.Item"
"1","Yes",905,905,""
"2","No",6773,7678,"DR1TNUMF"
"9","Don't know",50,7728,"DR1TNUMF"
".","Missing",976,8704,""
