"DS1LOC.Code.or.Value","DS1LOC.Value.Description","DS1LOC.Count","DS1LOC.Cumulative","DS1LOC.Skip.to.Item"
"1","HouseHold Interview",5249,5249,NA
"2","MEC Interview",819,6068,NA
"3","Phone Interview",0,6068,NA
".","Missing",0,6068,NA
