"DSQIVB12.Code.or.Value","DSQIVB12.Value.Description","DSQIVB12.Count","DSQIVB12.Cumulative","DSQIVB12.Skip.to.Item"
"0.41 to 15000","Range of Values",2960,2960,NA
".","Missing",7024,9984,NA
