"DSD103.Code.or.Value","DSD103.Value.Description","DSD103.Count","DSD103.Cumulative","DSD103.Skip.to.Item"
"1 to 30","Range of Values",9551,9551,NA
"7777","Refused",1,9552,NA
"9999","Don't know",13,9565,NA
".","Missing",419,9984,NA
