"DR1_300.Code.or.Value","DR1_300.Value.Description","DR1_300.Count","DR1_300.Cumulative","DR1_300.Skip.to.Item"
"1","Much more than usual",589,589,NA
"2","Usual",5770,6359,NA
"3","Much less than usual",1294,7653,NA
"7","Refused",0,7653,NA
"9","Don't know",75,7728,NA
".","Missing",976,8704,NA
