"DSQINIAC.Code.or.Value","DSQINIAC.Value.Description","DSQINIAC.Count","DSQINIAC.Cumulative","DSQINIAC.Skip.to.Item"
"0.16 to 1500","Range of Values",2016,2016,NA
".","Missing",7968,9984,NA
