"DS2TIODI.Code.or.Value","DS2TIODI.Value.Description","DS2TIODI.Count","DS2TIODI.Cumulative","DS2TIODI.Skip.to.Item"
"6 to 12500","Range of Values",1072,1072,NA
".","Missing",7632,8704,NA
