"DR1TIRON.Code.or.Value","DR1TIRON.Value.Description","DR1TIRON.Count","DR1TIRON.Cumulative","DR1TIRON.Skip.to.Item"
"0 to 111.04","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
