"DR2IS120.Code.or.Value","DR2IS120.Value.Description","DR2IS120.Count","DR2IS120.Cumulative","DR2IS120.Skip.to.Item"
"0 to 18.016","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
