"DRD370M.Code.or.Value","DRD370M.Value.Description","DRD370M.Count","DRD370M.Cumulative","DRD370M.Skip.to.Item"
"1","Yes",1659,1659,""
"2","No",2679,4338,"DRD370N"
".","Missing",4366,8704,""
