"DR1IPOTA.Code.or.Value","DR1IPOTA.Value.Description","DR1IPOTA.Count","DR1IPOTA.Cumulative","DR1IPOTA.Skip.to.Item"
"0 to 7063","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
