"DRD370IQ.Code.or.Value","DRD370IQ.Value.Description","DRD370IQ.Count","DRD370IQ.Cumulative","DRD370IQ.Skip.to.Item"
"1 to 10","Range of Values",166,166,NA
".","Missing",8538,8704,NA
