acronym,version,url,iris
EFO,3.43.0,https://github.com/EBISPOT/efo/releases/download/v3.43.0/efo.owl,"http://www.ebi.ac.uk/efo/,http://purl.obolibrary.org/obo/MONDO,http://purl.obolibrary.org/obo/HP,http://www.orpha.net/ORDO"
NCIT,22.07d,http://purl.obolibrary.org/obo/ncit/releases/2022-08-19/ncit.owl,
FOODON,0.5.1,https://raw.githubusercontent.com/FoodOntology/foodon/master/foodon.owl,http://purl.obolibrary.org/obo/FOODON
