"DS2IVC.Code.or.Value","DS2IVC.Value.Description","DS2IVC.Count","DS2IVC.Cumulative","DS2IVC.Skip.to.Item"
"0.4587 to 8160","Range of Values",2356,2356,NA
".","Missing",3292,5648,NA
