"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0.1 to 4.4","Range of Values",8353,8353,NA
".","Missing",826,9179,NA
