"DRXTP182.Code.or.Value","DRXTP182.Value.Description","DRXTP182.Count","DRXTP182.Cumulative","DRXTP182.Skip.to.Item"
"0 to 97.47","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
