"LB2MCVSI.Code.or.Value","LB2MCVSI.Value.Description","LB2MCVSI.Count","LB2MCVSI.Cumulative","LB2MCVSI.Skip.to.Item"
"60 to 102.8","Range of Values",551,551,NA
".","Missing",6,557,NA
