"VTQ280D.Code.or.Value","VTQ280D.Value.Description","VTQ280D.Count","VTQ280D.Cumulative","VTQ280D.Skip.to.Item"
"1","Yes",103,103,NA
"2","No",3015,3118,NA
"7","Refused",0,3118,NA
"9","Don't know",0,3118,NA
".","Missing",297,3415,NA
