"CIQP68.Code.or.Value","CIQP68.Value.Description","CIQP68.Count","CIQP68.Cumulative","CIQP68.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",1,3,NA
"7","Refused",0,3,NA
"9","Don't know",0,3,NA
".","Missing",775,778,NA
