"HOD180.Code.or.Value","HOD180.Value.Description","HOD180.Count","HOD180.Cumulative","HOD180.Skip.to.Item"
"1","One room",20,20,NA
"2","Two or more rooms",16,36,NA
"77","Refused",0,36,NA
"99","Don't know",0,36,NA
".","Missing",9929,9965,NA
