"DXXL2A.Code.or.Value","DXXL2A.Value.Description","DXXL2A.Count","DXXL2A.Cumulative","DXXL2A.Skip.to.Item"
"6.92 to 22.36","Range of Values",6216,6216,NA
".","Missing",1504,7720,NA
