"DUQ330.Code.or.Value","DUQ330.Value.Description","DUQ330.Count","DUQ330.Cumulative","DUQ330.Skip.to.Item"
"1","Yes",285,285,""
"2","No",385,670,"DUQ370"
"7","Refused",0,670,"DUQ370"
"9","Don't know",1,671,"DUQ370"
".","Missing",3901,4572,""
