"WBXA056.Code.or.Value","WBXA056.Value.Description","WBXA056.Count","WBXA056.Cumulative","WBXA056.Skip.to.Item"
"-3.807 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
