"LBXIF2.Code.or.Value","LBXIF2.Value.Description","LBXIF2.Count","LBXIF2.Cumulative","LBXIF2.Skip.to.Item"
"0.25 to 45.6","Range of Values",8207,8207,NA
".","Missing",1233,9440,NA
