"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"4 to 800","Range of Values",2523,2523,NA
".","Missing",28,2551,NA
