"VIQ200.Code.or.Value","VIQ200.Value.Description","VIQ200.Count","VIQ200.Cumulative","VIQ200.Skip.to.Item"
"1","Yes",381,381,""
"2","No",6641,7022,"VIQ220"
"9","Don't know",12,7034,"VIQ220"
".","Missing",411,7445,""
