"WBXP058.Code.or.Value","WBXP058.Value.Description","WBXP058.Count","WBXP058.Cumulative","WBXP058.Skip.to.Item"
"-92.495 to 144.3687","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
