"FSD675.Code.or.Value","FSD675.Value.Description","FSD675.Count","FSD675.Cumulative","FSD675.Skip.to.Item"
"1","Yes",1846,1846,NA
"2","No",1067,2913,NA
"7","Refused",0,2913,NA
"9","Don't know",8,2921,NA
".","Missing",6835,9756,NA
