"DXXPT1X.Code.or.Value","DXXPT1X.Value.Description","DXXPT1X.Count","DXXPT1X.Cumulative","DXXPT1X.Skip.to.Item"
"476.7 to 1056.6","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
