"INQ060.Code.or.Value","INQ060.Value.Description","INQ060.Count","INQ060.Cumulative","INQ060.Skip.to.Item"
"1","Yes",701,701,NA
"2","No",8975,9676,NA
"7","Refused",24,9700,NA
"9","Don't know",7,9707,NA
".","Missing",49,9756,NA
