"SPXNPEF.Code.or.Value","SPXNPEF.Value.Description","SPXNPEF.Count","SPXNPEF.Cumulative","SPXNPEF.Skip.to.Item"
"971 to 16723","Range of Values",6319,6319,NA
".","Missing",1424,7743,NA
