"DXXPT1X.Code.or.Value","DXXPT1X.Value.Description","DXXPT1X.Count","DXXPT1X.Cumulative","DXXPT1X.Skip.to.Item"
"242.3 to 888","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
