"URXMAAC.Code.or.Value","URXMAAC.Value.Description","URXMAAC.Count","URXMAAC.Cumulative","URXMAAC.Skip.to.Item"
"0.23 to 94.8","Range of Values",2569,2569,NA
".","Missing",186,2755,NA
