"DRD370RQ.Code.or.Value","DRD370RQ.Value.Description","DRD370RQ.Count","DRD370RQ.Cumulative","DRD370RQ.Skip.to.Item"
"1 to 7","Range of Values",222,222,NA
".","Missing",9116,9338,NA
