"AUXRR111.Code.or.Value","AUXRR111.Value.Description","AUXRR111.Count","AUXRR111.Cumulative","AUXRR111.Skip.to.Item"
"-83 to 37","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
