"DSQTCOPP.Code.or.Value","DSQTCOPP.Value.Description","DSQTCOPP.Count","DSQTCOPP.Cumulative","DSQTCOPP.Skip.to.Item"
"0.0002 to 6.1","Range of Values",1340,1340,NA
".","Missing",7914,9254,NA
