"DSDSUPP.Code.or.Value","DSDSUPP.Value.Description","DSDSUPP.Count","DSDSUPP.Cumulative","DSDSUPP.Skip.to.Item"
"Supplement Name","Value was recorded",9117,9117,NA
"< blank >","Missing",0,9117,NA
