"URXBMA.Code.or.Value","URXBMA.Value.Description","URXBMA.Count","URXBMA.Cumulative","URXBMA.Skip.to.Item"
"0.354 to 539","Range of Values",2622,2622,NA
".","Missing",133,2755,NA
