"SSHMFAL.Code.or.Value","SSHMFAL.Value.Description","SSHMFAL.Count","SSHMFAL.Cumulative","SSHMFAL.Skip.to.Item"
"0","At or above the detection limit",2191,2191,NA
"1","Below lower detection limit",35,2226,NA
".","Missing",753,2979,NA
