"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"3 to 749","Range of Values",8398,8398,NA
".","Missing",813,9211,NA
