"WTSCI27.Code.or.Value","WTSCI27.Value.Description","WTSCI27.Count","WTSCI27.Cumulative","WTSCI27.Skip.to.Item"
"0 to 495857.94491","Range of Values",727,727,NA
".","Missing",51,778,NA
