"ENQ100.Code.or.Value","ENQ100.Value.Description","ENQ100.Count","ENQ100.Cumulative","ENQ100.Skip.to.Item"
"1","Yes",1259,1259,NA
"2","No",5379,6638,NA
"7","Refused",0,6638,NA
"9","Don't know",4,6642,NA
".","Missing",853,7495,NA
