"LBCF07.Code.or.Value","LBCF07.Value.Description","LBCF07.Count","LBCF07.Cumulative","LBCF07.Skip.to.Item"
"0.29 to 27.6","Range of Values",246,246,NA
".","Missing",1,247,NA
