"PSQ210.Code.or.Value","PSQ210.Value.Description","PSQ210.Count","PSQ210.Cumulative","PSQ210.Skip.to.Item"
"1","True",42,42,NA
"2","False",7,49,NA
"7","Refused",0,49,NA
"9","Don't know",19,68,NA
".","Missing",53,121,NA
