"LBCGHC.Code.or.Value","LBCGHC.Value.Description","LBCGHC.Count","LBCGHC.Cumulative","LBCGHC.Skip.to.Item"
"0.0043 to 0.0045","Range of Values",264,264,NA
".","Missing",0,264,NA
