"AUXR2KL.Code.or.Value","AUXR2KL.Value.Description","AUXR2KL.Count","AUXR2KL.Cumulative","AUXR2KL.Skip.to.Item"
"35 to 120","Range of Values",21,21,NA
"666","No response",0,21,NA
"888","Could not obtain",0,21,NA
".","Missing",4561,4582,NA
