"DSXAA1.Code.or.Value","DSXAA1.Value.Description","DSXAA1.Count","DSXAA1.Cumulative","DSXAA1.Skip.to.Item"
"0.14 to 11.59","Range of Values",6957,6957,NA
".","Missing",2483,9440,NA
