"LBCBR5.Code.or.Value","LBCBR5.Value.Description","LBCBR5.Count","LBCBR5.Cumulative","LBCBR5.Skip.to.Item"
"3.258 to 315.6","Range of Values",265,265,NA
".","Missing",0,265,NA
