"PAD733.Code.or.Value","PAD733.Value.Description","PAD733.Count","PAD733.Cumulative","PAD733.Skip.to.Item"
"5 to 600","Range of Values",796,796,NA
"7777","Refused",0,796,NA
"9999","Don't know",2,798,NA
".","Missing",8686,9484,NA
