"HUQ020.Code.or.Value","HUQ020.Value.Description","HUQ020.Count","HUQ020.Cumulative","HUQ020.Skip.to.Item"
"1","Better,",1965,1965,NA
"2","Worse, or",653,2618,NA
"3","About the same?",6954,9572,NA
"7","Refused",0,9572,NA
"9","Don't know",3,9575,NA
".","Missing",396,9971,NA
