"WHD100H.Code.or.Value","WHD100H.Value.Description","WHD100H.Count","WHD100H.Cumulative","WHD100H.Skip.to.Item"
"17","Joined a weight loss program such as weight watchers, jenny craig, tops, or overeaters anonymous",7,7,NA
".","Missing",6132,6139,NA
