"LBDESTLC.Code.or.Value","LBDESTLC.Value.Description","LBDESTLC.Count","LBDESTLC.Cumulative","LBDESTLC.Skip.to.Item"
"0","At or above the detection limit",6060,6060,NA
"1","Below lower detection limit",1090,7150,NA
".","Missing",871,8021,NA
