"LBXIN.Code.or.Value","LBXIN.Value.Description","LBXIN.Count","LBXIN.Cumulative","LBXIN.Skip.to.Item"
"0.14 to 647.5","Range of Values",2881,2881,NA
".","Missing",358,3239,NA
