"WTSPH18.Code.or.Value","WTSPH18.Value.Description","WTSPH18.Count","WTSPH18.Cumulative","WTSPH18.Skip.to.Item"
"0.0000000 to 778875.0090200","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
