"AUQ140.Code.or.Value","AUQ140.Value.Description","AUQ140.Count","AUQ140.Cumulative","AUQ140.Skip.to.Item"
"1","Less than 1 year ago",654,654,NA
"2","1 year to 4 years ago",835,1489,NA
"3","More than 4 years ago",1937,3426,NA
"4","Never",1384,4810,NA
"7","Refused",3,4813,NA
"9","Don't know",64,4877,NA
".","Missing",4616,9493,NA
