"DRD350K.Code.or.Value","DRD350K.Value.Description","DRD350K.Count","DRD350K.Cumulative","DRD350K.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",1219,1219,NA
".","Missing",8424,9643,NA
