"SMQ020.Code.or.Value","SMQ020.Value.Description","SMQ020.Count","SMQ020.Cumulative","SMQ020.Skip.to.Item"
"1","Yes",2369,2369,""
"2","No",3184,5553,"SMAQUEX2"
"7","Refused",2,5555,"SMAQUEX2"
"9","Don't know",4,5559,"SMAQUEX2"
".","Missing",1231,6790,""
