"AUXRR144.Code.or.Value","AUXRR144.Value.Description","AUXRR144.Count","AUXRR144.Cumulative","AUXRR144.Skip.to.Item"
"-54 to 54","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
