"PUD040.Code.or.Value","PUD040.Value.Description","PUD040.Count","PUD040.Cumulative","PUD040.Skip.to.Item"
"1","Yes",6729,6729,""
"2","No",3075,9804,"End of Section"
".","Missing",161,9965,""
