"WTSSHS2Y.Code.or.Value","WTSSHS2Y.Value.Description","WTSSHS2Y.Count","WTSSHS2Y.Cumulative","WTSSHS2Y.Skip.to.Item"
"2498.049081 to 246248.92096","Range of Values",1211,1211,NA
"0","No lab specimen",0,1211,NA
".","Missing",0,1211,NA
