"AUDTYL59.Code.or.Value","AUDTYL59.Value.Description","AUDTYL59.Count","AUDTYL59.Cumulative","AUDTYL59.Skip.to.Item"
"0 to 2.84","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
